new_cases,PRECIPITATION,REL_HUMIDITY,MAX_TEMP,MIN_TEMP,MAX_WIND_SPEED,WIND_S50M,SOLAR1_INS_CLEAR_IND,SOLAR2_ALL_SKY_II,SOLAR3_DWN_THERM_IR,Level
22,0.25,54.1,5.35,-5.87,4.61,3.92,0.73,5.91,4.97,Level1
19,0,43.5,10.13,-4.86,3.82,3.18,0.72,5.93,5.52,Level1
22,3.86,75.54,4.55,-2.16,6.56,4.47,0.18,1.46,6.69,Level1
25,3.68,56.42,7.07,-2.67,4.16,3.8,0.53,4.46,6.29,Level1
43,0,45.86,11.36,-3.67,3.53,3.33,0.72,6.09,5.32,Level1
23,0,35.34,12.12,-2.53,7.54,5.2,0.72,6.07,5.44,Level1
44,0,41.8,14.15,-1.95,3.84,3.59,0.72,6.14,5.61,Level1
99,0.44,53.42,14.97,-1.96,4.34,3.61,0.59,5.09,6.45,Level1
52,2.08,54.5,13.11,1.07,3.57,3.64,0.61,5.28,6.66,Level1
65,0,51.87,16.56,-0.84,8.96,8.66,0.72,6.27,5.96,Level1
138,0,60.53,14.65,1.38,6.42,5.63,0.72,6.33,5.98,Level1
69,0.02,70.09,15.19,0.85,5.66,4.82,0.6,5.25,6.58,Level1
78,0.01,50.45,16,0.42,9.8,8,0.57,5.03,6.7,Level1
102,0.99,69.18,6.12,-3.41,5.49,4.96,0.31,2.78,6.81,Level1
94,0.36,73.36,5.85,-3.97,6.11,4.08,0.42,3.82,6.55,Level1
119,0.94,81.46,5.74,-2.38,5.08,4.64,0.25,2.25,6.79,Level1
113,0.14,68.74,10.45,-2.31,4.89,3.79,0.53,4.84,6.55,Level1
98,0.28,69.28,8.05,-1.61,6.7,4.58,0.37,3.38,6.54,Level1
84,2.93,71.58,11.45,-1.15,6.05,3.95,0.71,6.52,6.5,Level1
54,2.94,80.07,7.69,-2.97,4.89,3.9,0.12,1.14,7.48,Level1
100,5.39,81.7,5.57,-3.09,5.61,4.76,0.11,1.07,6.89,Level1
70,3.9,83.19,3.88,-2.08,4.5,3.83,0.29,2.73,6.68,Level1
62,0.23,72.96,8.16,-2.95,4.13,3.48,0.36,3.36,6.56,Level1
48,0.02,67.81,10.63,-1.09,3.51,3.48,0.64,6.11,6.12,Level1
67,1.74,71.07,11.68,-0.91,3.26,2.79,0.62,5.91,6.64,Level1
